Team name,% chance make playoffs,% chance 1 seed,% chance 2 seed,% chance 3 seed,% chance 4 seed
Kittle Corn,4.39,0.0,0.02,0.5700000000000001,3.8
I'm Sexy and I Know It,0.0,0.0,0.0,0.0,0.0
The Fox,0.0,0.0,0.0,0.0,0.0
The Captain,90.37,11.53,18.790000000000003,27.37,32.68
My Team Is Less Bad,0.05,0.0,0.0,0.0,0.05
Cohen The Distance,99.03,39.95,28.970000000000002,19.96,10.15
Extraordinary Alien,96.74000000000001,24.32,26.479999999999997,26.35,19.59
My Ball Zach Ertz,0.0,0.0,0.0,0.0,0.0
Mixon It Up,92.82,24.169999999999998,25.069999999999997,22.27,21.310000000000002
Team Claude,16.6,0.03,0.67,3.4799999999999995,12.42
