Team name,% chance make playoffs,% chance 1 seed,% chance 2 seed,% chance 3 seed,% chance 4 seed,% chance 5 seed,% chance 6 seed
Stop The TE Point Count,3.11,0.0,0.04,0.21,1.13,0.15,1.58
Kamara Man!,100.0,99.58,0.41000000000000003,0.01,0.0,0.0,0.0
?????? ??????,0.11,0.0,0.0,0.0,0.0,0.01,0.1
Special ED,18.05,0.0,1.0999999999999999,3.1300000000000003,6.01,1.52,6.29
Team Mercer,96.81999999999998,0.19,42.559999999999995,24.36,15.459999999999999,8.459999999999999,5.79
Fantasy Football Team,44.14,0.0,0.0,0.0,0.16999999999999998,13.38,30.59
"Game over,  man",99.44999999999999,0.0,6.87,18.44,24.099999999999998,47.349999999999994,2.69
Turd Ferguson,55.870000000000005,0.0,3.04,7.86,13.819999999999999,6.6000000000000005,24.55
Bottom  Feeders,93.70999999999998,0.22,36.05,28.46,16.79,5.489999999999999,6.7
Pot of Gould,88.74,0.01,9.93,17.53,22.52,17.04,21.709999999999997
