Team name,% chance make playoffs,% chance 1 seed,% chance 2 seed,% chance 3 seed,% chance 4 seed,% chance 5 seed,% chance 6 seed
Q'Aaron Rodgers,11.43,0.0,0.039,3.697,6.286,0.099,1.309
Kamara Man!,100.0,99.884,0.116,0.0,0.0,0.0,0.0
?????? ??????,0.021,0.0,0.0,0.0,0.0,0.001,0.02
Special ED,39.243,0.0,0.256,11.104,15.045,2.606,10.232
Team Mercer,95.617,0.0,0.248,14.957999999999998,19.631,48.342,12.438
Fantasy Football Team,52.68600000000001,0.0,0.0,0.002,0.109,17.591,34.984
"iResearch, by Kaaron Rodgers",94.571,0.0,2.535,37.996,22.750999999999998,18.873,12.416
Turd Ferguson,38.403999999999996,0.0,0.22599999999999998,9.402000000000001,14.097999999999999,2.757,11.921
Bottom  Feeders,68.041,0.0,1.03,19.316,21.385,9.664,16.646
Pot of Gould,99.987,0.116,95.55,3.5249999999999995,0.695,0.067,0.034
