Team name,% chance make playoffs,% chance 1 seed,% chance 2 seed,% chance 3 seed,% chance 4 seed
Kittle Corn,80.53,0.51,18.04,30.14,31.840000000000003
I'm Sexy and I Know It,0.0,0.0,0.0,0.0,0.0
"Hand, Foot, and Mouth Disease",89.08,3.0700000000000003,31.16,31.44,23.41
The Captain,1.68,0.0,0.0,0.11,1.5699999999999998
Relatively Mediocre Team,27.32,0.06999999999999999,2.4,6.98,17.87
Mahomes Alone,99.96999999999998,92.75999999999999,5.81,1.21,0.19
Extraordinary Alien,92.47,3.5900000000000003,42.26,28.060000000000002,18.56
Ka-ma-ra- meha!,8.950000000000001,0.0,0.33,2.06,6.5600000000000005
Sweep The Leg  Moore,0.0,0.0,0.0,0.0,0.0
Jake Fromm State Farm,0.0,0.0,0.0,0.0,0.0
