Team name,% chance make playoffs,% chance 1 seed,% chance 2 seed,% chance 3 seed,% chance 4 seed,% chance 5 seed,% chance 6 seed
Kittle Corn,100.00000000000001,22.544,47.344,21.385,7.153,1.574,0.0
I'm Sexy and I Know It,0.031,0.0,0.0,0.0,0.0,0.0,0.031
"Hand, Foot, and Mouth Disease",100.0,4.148000000000001,24.976000000000003,48.99,16.56,5.3260000000000005,0.0
The Captain,5.55,0.0,0.0,0.0,0.0,0.021,5.529
Relatively Mediocre Team,100.0,0.07100000000000001,1.66,9.456000000000001,33.277,52.756,2.78
Mahomes Alone,99.98100000000001,0.153,4.1579999999999995,15.873000000000001,41.911,33.805,4.0809999999999995
Extraordinary Alien,99.99999999999999,73.084,21.862000000000002,4.295999999999999,0.685,0.073,0.0
Ka-ma-ra- meha!,93.624,0.0,0.0,0.0,0.414,6.444999999999999,86.765
Sweep The Leg  Moore,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jake Fromm State Farm,0.814,0.0,0.0,0.0,0.0,0.0,0.814
