Team name,% chance make playoffs,% chance 1 seed,% chance 2 seed,% chance 3 seed,% chance 4 seed,% chance 5 seed,% chance 6 seed
Kittle Corn,100.0,98.22,1.654,0.126,0.0,0.0,0.0
I'm Sexy and I Know It,99.979,0.0,0.0,0.0,0.0,0.0,99.979
"Hand, Foot, and Mouth Disease",100.0,0.8619999999999999,56.477999999999994,42.66,0.0,0.0,0.0
The Captain,0.002,0.0,0.0,0.0,0.0,0.0,0.002
Responds to Trade Offers,100.0,0.0,0.0,0.0,100.0,0.0,0.0
Mahomes Alone,100.0,0.0,0.0,0.0,0.0,100.0,0.0
Extraordinary Alien,100.0,0.918,41.868,57.214,0.0,0.0,0.0
Ka-ma-ra- meha!,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sweep The Leg  Moore,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jake Fromm State Farm,0.019,0.0,0.0,0.0,0.0,0.0,0.019
