Team name,% chance make playoffs,% chance 1 seed,% chance 2 seed,% chance 3 seed,% chance 4 seed
Kittle Corn,78.446,6.598999999999999,15.229000000000001,24.029,32.589
I'm Sexy and I Know It,0.0,0.0,0.0,0.0,0.0
"Hand, Foot, and Mouth Disease",94.864,28.303,30.134,21.357,15.07
The Captain,0.01,0.0,0.0,0.0,0.01
Relatively Mediocre Team,3.2249999999999996,0.0,0.07200000000000001,0.53,2.6229999999999998
Mahomes Alone,92.08700000000002,13.746,28.292,30.738,19.311
Extraordinary Alien,97.35,50.976,23.294,14.571000000000002,8.509
Ka-ma-ra- meha!,33.952,0.376,2.979,8.773,21.823999999999998
Sweep The Leg  Moore,0.0,0.0,0.0,0.0,0.0
Jake Fromm State Farm,0.066,0.0,0.0,0.002,0.064
